system:index,classification,.geo
259,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9139563337252,50.94080973232991]}"
260,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91404616525361,50.94080973232991]}"
261,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.94080973232991]}"
262,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.94080973232991]}"
263,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.94080973232991]}"
264,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.94080973232991]}"
265,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.94080973232991]}"
266,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.94080973232991]}"
267,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.94080973232991]}"
268,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.94080973232991]}"
269,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.94080973232991]}"
270,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.94080973232991]}"
271,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.94080973232991]}"
